ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
2048,2048,367.94,128,31.39,52184460
4096,2048,319.03,128,30.99,80373132
6144,2048,306.48,128,30.55,108561804
8192,2048,294.24,128,30.26,136750476
10240,2048,282.32,128,29.58,164939148
12288,2048,277.30,128,29.34,193127820
14336,2048,265.96,128,29.07,221316492
16384,2048,265.81,128,28.46,249505164
18432,2048,256.22,128,27.78,277693836
20480,2048,250.23,128,27.33,305882508
22528,2048,253.48,128,27.12,334071180
24576,2048,251.00,128,26.88,362259852
26624,2048,244.92,128,26.28,390448524
28672,2048,240.47,128,26.08,418637196
30720,2048,235.57,128,25.42,446825868
32768,2048,228.45,128,25.15,475014540
34816,2048,220.91,128,24.25,503203212
36864,2048,213.68,128,23.88,531391884
38912,2048,205.29,128,23.32,559580556
40960,2048,198.36,128,23.00,587769228
43008,2048,190.39,128,22.23,615957900
45056,2048,185.37,128,21.76,644146572
47104,2048,180.74,128,21.47,672335244
49152,2048,178.08,128,21.11,700523916
51200,2048,173.44,128,20.96,728712588
53248,2048,172.05,128,20.91,756901260
55296,2048,170.83,128,20.83,785089932
57344,2048,170.15,128,20.80,813278604
59392,2048,168.85,128,20.88,841467276
61440,2048,168.03,128,21.08,869655948
63488,2048,168.35,128,21.04,897844620
65536,2048,167.57,128,21.15,926033292
