ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes
2048,2048,832.86,128,20.58,77.503,127,20.69,52184460
4096,2048,909.55,128,17.28,50.694,127,17.28,80373132
6144,2048,901.83,128,17.15,59.791,127,17.16,108561804
8192,2048,894.75,128,16.96,60.946,127,16.97,136750476
10240,2048,884.88,128,16.85,60.291,127,16.86,164939148
12288,2048,879.46,128,16.78,61.277,127,16.79,193127820
14336,2048,876.32,128,16.71,61.579,127,16.72,221316492
16384,2048,883.81,128,16.80,60.258,127,16.81,249505164
18432,2048,881.73,128,16.73,61.953,127,16.74,277693836
20480,2048,879.01,128,16.68,59.971,127,16.69,305882508
22528,2048,875.57,128,16.64,61.660,127,16.65,334071180
24576,2048,872.93,128,16.60,61.166,127,16.61,362259852
26624,2048,871.46,128,16.54,62.080,127,16.55,390448524
28672,2048,869.00,128,16.49,60.657,127,16.50,418637196
30720,2048,865.56,128,16.46,62.215,127,16.47,446825868
32768,2048,865.40,128,15.99,63.022,127,16.00,475014540
34816,2048,859.60,128,15.91,64.303,127,15.92,503203212
36864,2048,860.68,128,15.87,65.082,127,15.88,531391884
38912,2048,857.03,128,15.83,63.978,127,15.84,559580556
40960,2048,854.89,128,15.79,64.615,127,15.80,587769228
43008,2048,853.18,128,15.76,64.846,127,15.76,615957900
45056,2048,850.05,128,15.70,65.960,127,15.71,644146572
47104,2048,847.88,128,15.66,65.232,127,15.67,672335244
49152,2048,845.96,128,15.63,65.233,127,15.64,700523916
51200,2048,846.48,128,15.58,65.126,127,15.59,728712588
53248,2048,844.07,128,15.53,65.666,127,15.54,756901260
55296,2048,839.85,128,15.48,66.767,127,15.49,785089932
57344,2048,839.90,128,15.45,66.645,127,15.46,813278604
59392,2048,835.70,128,15.41,65.679,127,15.42,841467276
61440,2048,837.29,128,15.36,66.754,127,15.37,869655948
63488,2048,832.94,128,15.32,67.365,127,15.33,897844620
65536,2048,833.44,128,15.27,67.665,127,15.28,0
