ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes
2048,2048,389.68,128,12.16,82.644,127,12.17,52184460
4096,2048,424.58,128,10.93,83.764,127,10.93,80373132
6144,2048,386.97,128,10.92,92.578,127,10.93,108561804
8192,2048,416.63,128,10.75,92.345,127,10.76,136750476
10240,2048,408.60,128,10.73,93.411,127,10.73,164939148
12288,2048,405.37,128,10.64,93.404,127,10.64,193127820
14336,2048,402.09,128,10.63,93.155,127,10.63,221316492
16384,2048,406.64,128,10.61,93.317,127,10.61,249505164
18432,2048,404.80,128,10.59,93.544,127,10.59,277693836
20480,2048,401.49,128,10.48,93.945,127,10.48,305882508
22528,2048,397.23,128,10.48,95.098,127,10.49,334071180
24576,2048,396.64,128,10.38,96.649,127,10.39,362259852
26624,2048,394.01,128,10.39,96.359,127,10.39,390448524
28672,2048,392.30,128,10.32,110.785,127,10.34,418637196
30720,2048,389.92,128,10.30,96.633,127,10.30,446825868
32768,2048,378.96,128,9.99,98.130,127,9.99,475014540
34816,2048,384.17,128,9.89,100.144,127,9.90,503203212
36864,2048,384.41,128,9.88,100.882,127,9.89,531391884
38912,2048,382.34,128,9.82,101.750,127,9.83,559580556
40960,2048,378.37,128,9.78,101.196,127,9.79,587769228
43008,2048,372.35,128,9.74,103.157,127,9.75,615957900
45056,2048,371.02,128,9.71,104.048,127,9.72,644146572
47104,2048,363.76,128,9.65,102.825,127,9.66,672335244
49152,2048,370.79,128,9.61,103.978,127,9.62,700523916
51200,2048,369.86,128,9.58,103.869,127,9.59,728712588
53248,2048,368.20,128,9.51,104.299,127,9.52,756901260
55296,2048,365.74,128,9.48,106.906,127,9.48,785089932
57344,2048,356.52,128,9.79,101.778,127,9.80,813278604
59392,2048,361.40,128,9.70,101.874,127,9.71,841467276
61440,2048,361.70,128,9.68,103.961,127,9.69,869655948
63488,2048,359.02,128,9.62,103.169,127,9.62,897844620
65536,2048,358.53,128,9.61,105.050,127,9.62,0
