ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes
2048,2048,321.19,128,29.17,34.964,127,29.21,52184460
4096,2048,329.70,128,28.45,74.095,127,28.74,80373132
6144,2048,325.04,128,28.15,36.099,127,28.19,108561804
8192,2048,321.38,128,28.22,36.055,127,28.26,136750476
10240,2048,310.39,128,27.78,36.440,127,27.82,164939148
12288,2048,306.92,128,27.95,39.046,127,28.00,193127820
14336,2048,302.74,128,27.48,37.035,127,27.52,221316492
16384,2048,298.88,128,27.49,36.860,127,27.53,249505164
18432,2048,289.92,128,26.67,38.000,127,26.71,277693836
20480,2048,286.72,128,26.79,37.902,127,26.83,305882508
22528,2048,282.62,128,26.42,39.650,127,26.47,334071180
24576,2048,279.36,128,26.56,46.118,127,26.64,362259852
26624,2048,270.96,128,26.30,38.614,127,26.34,390448524
28672,2048,268.18,128,26.30,39.842,127,26.35,418637196
30720,2048,264.29,128,25.98,39.061,127,26.01,446825868
32768,2048,261.28,128,25.73,40.287,127,25.77,475014540
34816,2048,253.81,128,25.32,39.630,127,25.35,503203212
36864,2048,252.11,128,25.47,41.058,127,25.51,531391884
38912,2048,249.17,128,25.13,42.771,127,25.18,559580556
40960,2048,246.13,128,25.41,43.243,127,25.46,587769228
43008,2048,239.95,128,25.11,41.921,127,25.15,615957900
45056,2048,237.65,128,25.21,42.223,127,25.26,644146572
47104,2048,234.82,128,24.89,40.422,127,24.92,672335244
49152,2048,232.15,128,25.08,40.437,127,25.11,700523916
51200,2048,227.24,128,24.42,41.760,127,24.45,728712588
53248,2048,225.67,128,24.53,42.178,127,24.56,756901260
55296,2048,222.65,128,24.25,42.338,127,24.28,785089932
57344,2048,220.37,128,24.34,41.834,127,24.37,813278604
59392,2048,215.43,128,24.09,42.219,127,24.12,841467276
61440,2048,214.28,128,24.15,41.952,127,24.18,869655948
63488,2048,211.80,128,23.84,44.461,127,23.88,897844620
65536,2048,209.18,128,23.49,43.384,127,23.52,0
