ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes
2048,2048,313.78,128,28.24,37.239,127,28.29,52184460
4096,2048,327.88,128,27.91,35.947,127,27.94,80373132
6144,2048,323.38,128,27.40,37.034,127,27.44,108561804
8192,2048,319.54,128,27.43,36.981,127,27.46,136750476
10240,2048,308.96,128,27.07,37.633,127,27.11,164939148
12288,2048,305.26,128,27.23,37.473,127,27.26,193127820
14336,2048,301.03,128,26.87,37.668,127,26.91,221316492
16384,2048,297.51,128,26.76,37.710,127,26.80,249505164
18432,2048,288.55,128,26.44,38.308,127,26.48,277693836
20480,2048,285.29,128,26.56,38.280,127,26.60,305882508
22528,2048,281.20,128,26.24,38.798,127,26.28,334071180
24576,2048,278.41,128,26.32,38.516,127,26.36,362259852
26624,2048,270.35,128,26.01,38.668,127,26.04,390448524
28672,2048,266.77,128,26.08,38.872,127,26.12,418637196
30720,2048,263.58,128,25.72,39.177,127,25.76,446825868
32768,2048,259.85,128,25.46,40.742,127,25.50,475014540
34816,2048,252.70,128,25.02,41.123,127,25.06,503203212
36864,2048,250.87,128,25.14,40.042,127,25.18,531391884
38912,2048,247.85,128,24.80,42.649,127,24.84,559580556
40960,2048,245.05,128,25.03,41.984,127,25.07,587769228
43008,2048,239.01,128,24.78,42.915,127,24.82,615957900
45056,2048,236.71,128,24.91,42.891,127,24.96,644146572
47104,2048,233.86,128,24.57,44.337,127,24.61,672335244
49152,2048,231.17,128,24.67,42.736,127,24.71,700523916
51200,2048,226.39,128,24.38,43.439,127,24.42,728712588
53248,2048,224.63,128,24.49,43.773,127,24.54,756901260
55296,2048,221.81,128,24.17,44.228,127,24.21,785089932
57344,2048,219.61,128,24.35,44.076,127,24.39,813278604
59392,2048,214.71,128,24.04,43.487,127,24.07,841467276
61440,2048,213.49,128,24.15,44.492,127,24.19,869655948
63488,2048,211.10,128,23.83,42.623,127,23.86,897844620
65536,2048,208.31,128,23.46,43.899,127,23.49,0
