ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes
2048,2048,640.09,128,44.28,26.925,127,44.41,52184460
4096,2048,581.19,128,40.23,26.109,127,40.29,80373132
6144,2048,573.94,128,39.94,29.389,127,40.04,108561804
8192,2048,567.51,128,39.56,28.130,127,39.64,136750476
10240,2048,557.23,128,39.38,29.252,127,39.47,164939148
12288,2048,551.58,128,39.25,29.143,127,39.34,193127820
14336,2048,544.37,128,38.98,29.309,127,39.07,221316492
16384,2048,539.03,128,38.72,29.313,127,38.81,249505164
18432,2048,528.52,128,38.34,29.393,127,38.43,277693836
20480,2048,523.89,128,38.31,29.244,127,38.39,305882508
22528,2048,517.09,128,38.06,29.804,127,38.14,334071180
24576,2048,512.07,128,38.01,30.088,127,38.10,362259852
26624,2048,502.79,128,37.77,32.122,127,37.88,390448524
28672,2048,498.03,128,37.65,30.416,127,37.73,418637196
30720,2048,491.66,128,37.92,30.952,127,38.01,446825868
32768,2048,487.52,128,37.03,31.005,127,37.11,475014540
34816,2048,478.77,128,36.61,32.102,127,36.70,503203212
36864,2048,475.77,128,36.51,31.124,127,36.59,531391884
38912,2048,471.09,128,36.31,31.461,127,36.38,559580556
40960,2048,466.58,128,36.25,30.825,127,36.32,587769228
43008,2048,458.44,128,36.09,33.441,127,36.19,615957900
45056,2048,454.46,128,36.04,31.940,127,36.12,644146572
47104,2048,449.59,128,35.84,33.035,127,35.93,672335244
49152,2048,446.09,128,35.84,32.159,127,35.92,700523916
51200,2048,439.38,128,35.60,34.011,127,35.69,728712588
53248,2048,435.87,128,35.49,33.985,127,35.59,756901260
55296,2048,431.35,128,35.34,34.812,127,35.44,785089932
57344,2048,427.99,128,35.21,33.425,127,35.30,813278604
59392,2048,421.32,128,35.05,34.330,127,35.14,841467276
61440,2048,418.36,128,35.02,34.794,127,35.12,869655948
63488,2048,413.83,128,35.10,33.143,127,35.18,897844620
65536,2048,410.75,128,34.48,35.885,127,34.58,0
