ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes
2048,2048,331.58,128,29.87,41.749,127,30.32,52184460
4096,2048,302.26,128,28.79,39.122,127,29.21,80373132
6144,2048,307.57,128,29.06,36.066,127,29.47,108561804
8192,2048,287.75,128,29.13,35.846,127,29.54,136750476
10240,2048,278.46,128,29.74,35.058,127,30.17,164939148
12288,2048,277.09,128,29.17,36.106,127,29.58,193127820
14336,2048,274.41,128,28.74,36.484,127,29.14,221316492
16384,2048,280.48,128,28.75,36.791,127,29.15,249505164
18432,2048,275.85,128,28.39,38.025,127,28.79,277693836
20480,2048,273.20,128,28.28,38.344,127,28.67,305882508
22528,2048,269.19,128,28.08,37.292,127,28.46,334071180
24576,2048,267.54,128,27.62,40.146,127,28.00,362259852
26624,2048,252.16,128,27.00,39.370,127,27.35,390448524
28672,2048,248.46,128,26.57,40.473,127,26.91,418637196
30720,2048,237.37,128,25.78,41.184,127,26.10,446825868
32768,2048,229.26,128,25.65,41.389,127,25.97,475014540
34816,2048,220.08,128,24.93,42.775,127,25.24,503203212
36864,2048,215.37,128,24.70,41.623,127,24.99,531391884
38912,2048,209.26,128,24.23,42.587,127,24.51,559580556
40960,2048,207.33,128,23.91,42.242,127,24.17,587769228
43008,2048,202.79,128,23.80,41.231,127,24.05,615957900
45056,2048,200.70,128,23.79,51.458,127,24.08,644146572
47104,2048,199.48,128,23.62,50.884,127,23.89,672335244
49152,2048,199.20,128,23.76,49.071,127,24.04,700523916
51200,2048,198.25,128,23.54,54.177,127,23.83,728712588
53248,2048,196.93,128,23.52,52.650,127,23.81,756901260
55296,2048,197.44,128,23.54,51.089,127,23.82,785089932
57344,2048,195.99,128,23.68,52.160,127,23.96,813278604
59392,2048,192.50,128,23.44,55.963,127,23.73,841467276
61440,2048,194.34,128,23.59,53.681,127,23.87,869655948
63488,2048,192.18,128,23.54,54.706,127,23.83,897844620
65536,2048,190.80,128,23.28,47.744,127,23.53,0
