ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
2048,2048,393.18,128,12.53,52184460
4096,2048,394.11,128,13.74,80373132
6144,2048,388.68,128,13.64,108561804
8192,2048,384.63,128,13.53,136750476
10240,2048,378.97,128,13.39,164939148
12288,2048,374.39,128,13.41,193127820
14336,2048,372.08,128,13.30,221316492
16384,2048,370.00,128,13.37,249505164
18432,2048,365.91,128,13.29,277693836
20480,2048,362.87,128,13.02,305882508
22528,2048,360.16,128,13.19,334071180
24576,2048,356.49,128,12.98,362259852
26624,2048,353.05,128,13.01,390448524
28672,2048,350.64,128,12.91,418637196
30720,2048,347.53,128,12.86,446825868
32768,2048,344.76,128,12.46,475014540
34816,2048,331.90,128,12.41,503203212
36864,2048,329.54,128,12.36,531391884
38912,2048,327.15,128,12.32,559580556
40960,2048,325.37,128,12.33,587769228
43008,2048,323.17,128,12.24,615957900
45056,2048,320.76,128,12.25,644146572
47104,2048,319.08,128,12.20,672335244
49152,2048,315.82,128,12.17,700523916
51200,2048,311.14,128,12.07,728712588
53248,2048,309.32,128,12.03,756901260
55296,2048,306.87,128,11.97,785089932
57344,2048,305.21,128,11.90,813278604
59392,2048,302.78,128,11.82,841467276
61440,2048,300.80,128,11.78,869655948
63488,2048,289.64,128,11.76,897844620
65536,2048,296.55,128,11.68,926033292
