ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
2048,2048,402.08,128,14.00,52184460
4096,2048,399.91,128,13.83,80373132
6144,2048,393.78,128,13.77,108561804
8192,2048,387.49,128,13.58,136750476
10240,2048,382.38,128,13.48,164939148
12288,2048,377.61,128,13.42,193127820
14336,2048,372.81,128,13.36,221316492
16384,2048,371.20,128,13.39,249505164
18432,2048,367.83,128,13.30,277693836
20480,2048,364.98,128,13.26,305882508
22528,2048,361.29,128,13.21,334071180
24576,2048,358.10,128,13.11,362259852
26624,2048,354.72,128,13.05,390448524
28672,2048,351.56,128,12.95,418637196
30720,2048,349.00,128,12.88,446825868
32768,2048,346.17,128,12.51,475014540
34816,2048,332.74,128,12.46,503203212
36864,2048,330.37,128,12.39,531391884
38912,2048,328.01,128,12.34,559580556
40960,2048,325.36,128,12.31,587769228
43008,2048,322.54,128,12.24,615957900
45056,2048,320.33,128,12.21,644146572
47104,2048,318.00,128,12.14,672335244
49152,2048,314.94,128,12.12,700523916
51200,2048,309.34,128,12.02,728712588
53248,2048,308.53,128,11.96,756901260
55296,2048,305.40,128,11.90,785089932
57344,2048,303.48,128,11.85,813278604
59392,2048,300.91,128,11.81,841467276
61440,2048,298.64,128,11.73,869655948
63488,2048,296.36,128,11.70,897844620
65536,2048,294.40,128,11.63,926033292
